Standard,Dm_cm,Ht_cm,Wax.I_g,Wax.F_g
S1,0.6,1,0.159,0.215
S2,0.6,1.9,0.273,0.385
S3,0.6,3,0.415,0.616
S4,0.6,3.9,0.55,0.755
S5,0.6,4.9,0.662,0.944
S6,0.6,6,0.794,1.149
S7,0.6,7,0.937,1.31
S8,0.6,7.9,1.059,1.413
S9,0.6,8.9,1.177,1.666
S10,0.6,9.9,1.109,1.597
S11,1.3,1,0.439,0.553
S12,1.3,1.9,0.966,1.174
S13,1.3,3,1.523,1.789
S14,1.3,4,2.099,2.485
S15,1.3,4.9,2.343,2.773
S16,1.3,5.9,3.016,3.492
S17,1.3,7,3.664,4.321
S18,1.3,7.9,3.667,4.319
S19,1.3,8.9,4.276,5.03
S20,1.3,10,4.968,5.696
S21,1.95,1,1.586,1.84
S22,1.95,2,3.139,3.632
S23,1.95,2.9,3.878,4.396
S24,1.95,3.9,5.111,5.767
S25,1.95,4.9,7.803,8.65
S26,1.95,5.8,9.96,11.002
S27,1.95,6.8,11.088,12.146
S28,1.95,8,13.439,14.908
S29,1.95,8.9,14.799,16.274
S30,1.95,9.9,15.269,16.769
S31,2.6,1.2,2.909,3.283
S32,2.6,1.9,4.628,5.161
S33,2.6,2.9,6.875,7.619
S34,2.6,4.1,9.858,10.819
S35,2.6,5,10.938,11.919
S36,2.6,5.8,14.685,15.995
S37,2.6,7,15.963,17.493
S38,2.6,7.9,19.613,21.294
