"Type","Metric","TimeP","Predictor","Estimate","SE","DF","t","p","EtaSq"
"Growth","Growth","TP1.2","Origin",-0.00753825090296689,0.0212834522374063,112.001272670545,-0.35418365492973,0.723867183041148,0.0182613715787405
"Growth","Growth","TP1.2","Site",0.0585933037476857,0.0214692115037096,112.00508198255,2.72917818791629,0.00737509341388813,0.0704053733451505
"Growth","Growth","TP1.2","Origin x Site",-0.0287411717811399,0.0303577150390515,112.001272667569,-0.946750166940031,0.345804247923686,0.00793936993124542
"Growth","Growth","TP1.2","KL Origin",-0.00753825090296699,0.0211729036818241,56.0000061155453,-0.356032928513164,0.723153715552135,0.00225844915375078
"Growth","Growth","TP1.2","SS Origin",-0.0362794226841067,0.0218737490090791,54.0044316995387,-1.65858274542001,0.102997647048515,0.0484694001399333
"Tolerance","FvFm","TP1","Origin",0.0681333333333339,0.0321817430147917,42.000000035636,2.11714242146604,0.0402122049815957,0.0358196074544767
"Tolerance","FvFm","TP1","Site",-0.0127666666666665,0.0321817430147917,42.000000035636,-0.396705258033989,0.693593421150805,0.112381039543367
"Tolerance","FvFm","TP1","Origin x Site",-0.0794166666666672,0.045511857432324,42.0000000357253,-1.74496650207607,0.08830451237871,0.0675971651366516
"Tolerance","FvFm","TP1","KL Origin",0.0681333333333335,0.0227727049133095,20.000000033283,2.9918858384501,0.00720628307948412,0.309186663673262
"Tolerance","FvFm","TP1","SS Origin",-0.0112833333333338,0.0382416226915947,20.0000000759458,-0.295053727827658,0.770993939989795,0.00433397004180614
"Tolerance","Symbionts","TP1","Origin",0.116675320714762,0.0560611512843253,42.0000027966136,2.08121520949542,0.043548422290997,0.0370954711616925
"Tolerance","Symbionts","TP1","Site",0.063089810319587,0.0560611512843253,42.0000027966136,1.12537486074116,0.266820240489015,0.00015138320421578
"Tolerance","Symbionts","TP1","Origin x Site",-0.132501895769972,0.0792824404685428,42.0000027955737,-1.67126409059703,0.102105488840933,0.0623560774052464
"Tolerance","Symbionts","TP1","KL Origin",0.116675320714762,0.0463797002809073,20.0000005823237,2.51565490954224,0.0205347772326994,0.240367463660454
"Tolerance","Symbionts","TP1","SS Origin",-0.0158265750552104,0.0655804018815142,20.0000000442509,-0.241330864117068,0.811755646984079,0.00290357399979171
"Tolerance","Chlorophyll","TP1","Origin",0.0152096128238837,0.0226029219921258,42.0000000752333,0.672904716884935,0.504693717968895,0.000289758001063675
"Tolerance","Chlorophyll","TP1","Site",0.0262825305400519,0.0226029219921258,42.0000000752333,1.16279348967394,0.251477712790065,0.015125661644015
"Tolerance","Chlorophyll","TP1","Origin x Site",-0.0268923927973749,0.0319653588305255,42.0000000744471,-0.841298010760756,0.404945651380053,0.0165726783936773
"Tolerance","Chlorophyll","TP1","KL Origin",0.0152096128238838,0.0217777905318433,20.000000003216,0.698400179836628,0.492968486599806,0.0238075194258265
"Tolerance","Chlorophyll","TP1","SS Origin",-0.0116827799734911,0.0241914140218357,20.0000000514127,-0.482930843271334,0.634388978054887,0.0115266958713703
"Tolerance","FvFm","TP2","Origin",0.0752583333333336,0.0264322157348528,42.0000000048254,2.84722000184419,0.0067966834862424,0.0384726550878111
"Tolerance","FvFm","TP2","Site",0.0648749999999999,0.0264322157348528,42.0000000048321,2.45439128716166,0.0183389154768801,0.0128977485624973
"Tolerance","FvFm","TP2","Origin x Site",-0.102058333333333,0.0373807979758003,42.0000000046244,-2.73023420739718,0.00920947391274934,0.150728998101139
"Tolerance","FvFm","TP2","KL Origin",0.0752583333333323,0.0329346322973197,19.9999438805874,2.28508193605845,0.0333620030286709,0.20702933936784
"Tolerance","FvFm","TP2","SS Origin",-0.0267999999999996,0.0164801130129799,20.000000003859,-1.62620244041359,0.119560555718137,0.116784665681548
"Tolerance","Symbionts","TP2","Origin",-0.107899999999999,0.0792366303623663,42.000000070921,-1.36174392457817,0.180538840336149,0.0775854579355529
"Tolerance","Symbionts","TP2","Site",-0.178424999999999,0.0792366303623663,42.000000070921,-2.25179944154645,0.0296234383985706,0.189951294892387
"Tolerance","Symbionts","TP2","Origin x Site",0.00518333333333191,0.112057517295202,42.0000000708846,0.0462560072581034,0.963325446996221,5.09406954812202e-05
"Tolerance","Symbionts","TP2","KL Origin",-0.1079,0.0762325633850416,20.0000036665551,-1.41540563781136,0.172333280852779,0.0910484394746841
"Tolerance","Symbionts","TP2","SS Origin",-0.102716666666667,0.0855609911827345,20.0000000046445,-1.20050814333477,0.24396871092646,0.0672172486078495
"Tolerance","Chlorophyll","TP2","Origin",-0.0384416666666673,0.0330091896031809,42.0000000114739,-1.16457468749741,0.250763602470816,0.00252619627675117
"Tolerance","Chlorophyll","TP2","Site",-0.0651416666666672,0.0330091896031809,42.0000000114739,-1.97344034948346,0.0550488844300636,0.0489356763253545
"Tolerance","Chlorophyll","TP2","Origin x Site",0.0616583333333341,0.0466820436197634,42.000000011989,1.320814783422,0.193714919208451,0.0398804336573595
"Tolerance","Chlorophyll","TP2","KL Origin",-0.0384416666666667,0.0323242830735729,20.0000072253047,-1.18925040283709,0.248269314430367,0.0660453506459885
"Tolerance","Chlorophyll","TP2","SS Origin",0.0232166666666667,0.0272045241038369,20.0000000039597,0.85341197581884,0.403536546363091,0.0351360979280579
"Tolerance","FvFm","TP3","Origin",0.0090249999999991,0.0122886798299344,41.999999929743,0.734415748876034,0.466776074680478,9.25111947377255e-05
"Tolerance","FvFm","TP3","Site",0.00397499999999932,0.0122886798299344,41.999999929743,0.323468432330419,0.747945675347029,0.0097631926917534
"Tolerance","FvFm","TP3","Origin x Site",-0.0191333333333323,0.017378817679154,41.9999999302503,-1.10095713566768,0.277185187385551,0.0280501625932113
"Tolerance","FvFm","TP3","KL Origin",0.00902500000000058,0.0118685925170559,20.0011453366878,0.760410300297284,0.455880521694588,0.0280972570277005
"Tolerance","FvFm","TP3","SS Origin",-0.0101083333333338,0.0128070083697887,21.9999999997529,-0.789281387305013,0.438371652522123,0.0275368460928716
"Tolerance","Symbionts","TP3","Origin",0.0397817597385157,0.0254959169534644,41.9999996419195,1.56031884678343,0.126188875301332,0.0409166783624727
"Tolerance","Symbionts","TP3","Site",0.0589227180098682,0.0254959169534644,41.9999996419195,2.31106487040317,0.0258082413068459,0.120629741822519
"Tolerance","Symbionts","TP3","Origin x Site",-0.0312985214480586,0.0360566715407274,41.9999996419196,-0.868036901650937,0.390307089744843,0.0176240139245439
"Tolerance","Symbionts","TP3","KL Origin",0.0397817597385137,0.0283797550403482,19.9999999971556,1.40176543743788,0.176314436053668,0.0894582809942412
"Tolerance","Symbionts","TP3","SS Origin",0.00848323829045687,0.0216472648589523,21.9999999993791,0.391884995436205,0.698913569736707,0.006932238143363
"Tolerance","Chlorophyll","TP3","Origin",0.0318139343556196,0.0515393839312094,43.999999999561,0.61727424600345,0.540235312393434,0.00630839183290426
"Tolerance","Chlorophyll","TP3","Site",0.0385185080905089,0.0515393839312094,43.999999999561,0.747360661934188,0.458821453508987,0.0114056654275739
"Tolerance","Chlorophyll","TP3","Origin x Site",-0.0251054029034146,0.0728876957518703,43.999999999561,-0.344439519516164,0.732156660443978,0.00268908076987862
"Tolerance","Chlorophyll","TP3","KL Origin",0.03181393435562,0.0375796480513546,20.0000000034763,0.846573504683827,0.407248885099104,0.03459465836073
"Tolerance","Chlorophyll","TP3","SS Origin",0.00670853145220492,0.0597723187807155,21.9999999996711,0.112234753294686,0.911655050113996,0.000572246884518149
"Tolerance","FvFm","TP4","Origin",0.0323916666666668,0.0413827926432314,42.0000000696082,0.782732739810996,0.438175310848827,0.000317411361439288
"Tolerance","FvFm","TP4","Site",0.0278250000000001,0.0413827926432314,42.0000000696082,0.672380915417781,0.505023686642498,3.92095016544743e-05
"Tolerance","FvFm","TP4","Origin x Site",-0.0580250000000002,0.0585241066049314,42.0000000699141,-0.99147177746257,0.327133192420082,0.0228698767293668
"Tolerance","FvFm","TP4","KL Origin",0.0323916666666665,0.0392156714551181,20.0000075485599,0.825987812136238,0.418555780783092,0.0329874855633059
"Tolerance","FvFm","TP4","SS Origin",-0.0256333333333334,0.0451274459794312,20.0000000064789,-0.568020918910787,0.576342983780911,0.015876266122363
"Tolerance","Symbionts","TP4","Origin",0.0409811682162797,0.0521039791971488,42.0000187811273,0.78652665012814,0.435974576252153,0.0105875159713848
"Tolerance","Symbionts","TP4","Site",-0.0309235414198437,0.0521039791971488,42.0000187804311,-0.593496732808767,0.556031727756594,0.0376154592081294
"Tolerance","Symbionts","TP4","Origin x Site",-0.0325632430727971,0.0736861540342134,42.0000187800795,-0.441918071306552,0.660815654287765,0.00462827693581748
"Tolerance","Symbionts","TP4","KL Origin",0.0409811682162794,0.0463849555875081,20.0000000504923,0.883501292546588,0.387462637493285,0.037562702164962
"Tolerance","Symbionts","TP4","SS Origin",0.00841792514348253,0.0569179156034263,21.999999999726,0.14789587872708,0.883772076856767,0.000993248428735927
"Tolerance","Chlorophyll","TP4","Origin",-0.0126623014999331,0.017336063666573,42.9999999992742,-0.730402341815819,0.469105293571957,0.000625703384067369
"Tolerance","Chlorophyll","TP4","Site",-0.0265933242198277,0.0177256867790835,42.9999999990462,-1.50027045785374,0.140851745830561,0.0209685071564578
"Tolerance","Chlorophyll","TP4","Origin x Site",0.0293927796400729,0.0247939322262857,42.9999999991217,1.18548277747213,0.242336692482744,0.0316486369599816
"Tolerance","Chlorophyll","TP4","KL Origin",-0.0126623014999331,0.0154518018101751,21.999999999354,-0.819470871778522,0.421307257769113,0.0296200757238384
"Tolerance","Chlorophyll","TP4","SS Origin",0.0167304781401398,0.0195413610992248,21.0000000001826,0.856157258196487,0.401574781414518,0.0337277446123402
