"Timepoint","Response","Predictor","Estimate","SE","DF","t","p","EffectSize"
"TP1_2","Growth","Origin",-0.008,0.021,114,-0.359,0.721,0.024
"TP1_2","Growth","Site",0.062,0.021,114,2.953,0.004,0.073
"TP1_2","Growth","Origin x Site",-0.035,0.03,114,-1.183,0.239,0.012
"TP1_2","Growth","KL Origin",-0.008,0.021,56,-0.356,0.723,0.002
"TP1_2","Growth","SS Origin",-0.043,0.021,56,-2.036,0.047,0.069
"TP3_4","Growth","Origin",-0.028,0.013,114,-2.172,0.032,0.001
"TP3_4","Growth","Site",-0.059,0.013,114,-4.479,0,0.071
"TP3_4","Growth","Origin x Site",0.063,0.019,114,3.392,0.001,0.092
"TP3_4","Growth","KL Origin",-0.028,0.015,56,-1.938,0.058,0.063
"TP3_4","Growth","SS Origin",0.034,0.011,56,3.029,0.004,0.141
"TP1","FvFm Retention","Origin",0.068,0.032,42,2.117,0.04,0.036
"TP1","FvFm Retention","Site",-0.013,0.032,42,-0.397,0.694,0.112
"TP1","FvFm Retention","Origin x Site",-0.079,0.046,42,-1.745,0.088,0.068
"TP1","FvFm Retention","KL Origin",0.068,0.023,20,2.992,0.007,0.309
"TP1","FvFm Retention","SS Origin",-0.011,0.038,20,-0.295,0.771,0.004
"TP1","Symbiont Retention","Origin",0.117,0.056,42,2.081,0.044,0.037
"TP1","Symbiont Retention","Site",0.063,0.056,42,1.125,0.267,0
"TP1","Symbiont Retention","Origin x Site",-0.133,0.079,42,-1.671,0.102,0.062
"TP1","Symbiont Retention","KL Origin",0.117,0.046,20,2.516,0.021,0.24
"TP1","Symbiont Retention","SS Origin",-0.016,0.066,20,-0.241,0.812,0.003
"TP1","Chlorophyll Retention","Origin",0.015,0.023,42,0.673,0.505,0
"TP1","Chlorophyll Retention","Site",0.026,0.023,42,1.163,0.251,0.015
"TP1","Chlorophyll Retention","Origin x Site",-0.027,0.032,42,-0.841,0.405,0.017
"TP1","Chlorophyll Retention","KL Origin",0.015,0.022,20,0.698,0.493,0.024
"TP1","Chlorophyll Retention","SS Origin",-0.012,0.024,20,-0.483,0.634,0.012
"TP2","FvFm Retention","Origin",0.075,0.026,42,2.847,0.007,0.038
"TP2","FvFm Retention","Site",0.065,0.026,42,2.454,0.018,0.013
"TP2","FvFm Retention","Origin x Site",-0.102,0.037,42,-2.73,0.009,0.151
"TP2","FvFm Retention","KL Origin",0.075,0.033,20,2.285,0.033,0.207
"TP2","FvFm Retention","SS Origin",-0.027,0.016,20,-1.626,0.12,0.117
"TP2","Symbiont Retention","Origin",-0.108,0.079,42,-1.362,0.181,0.078
"TP2","Symbiont Retention","Site",-0.178,0.079,42,-2.252,0.03,0.19
"TP2","Symbiont Retention","Origin x Site",0.005,0.112,42,0.046,0.963,0
"TP2","Symbiont Retention","KL Origin",-0.108,0.076,20,-1.415,0.172,0.091
"TP2","Symbiont Retention","SS Origin",-0.103,0.086,20,-1.201,0.244,0.067
"TP2","Chlorophyll Retention","Origin",-0.038,0.033,42,-1.165,0.251,0.003
"TP2","Chlorophyll Retention","Site",-0.065,0.033,42,-1.973,0.055,0.049
"TP2","Chlorophyll Retention","Origin x Site",0.062,0.047,42,1.321,0.194,0.04
"TP2","Chlorophyll Retention","KL Origin",-0.038,0.032,20,-1.189,0.248,0.066
"TP2","Chlorophyll Retention","SS Origin",0.023,0.027,20,0.853,0.404,0.035
"TP3","FvFm Retention","Origin",0.009,0.012,42,0.734,0.467,0
"TP3","FvFm Retention","Site",0.004,0.012,42,0.323,0.748,0.01
"TP3","FvFm Retention","Origin x Site",-0.019,0.017,42,-1.101,0.277,0.028
"TP3","FvFm Retention","KL Origin",0.009,0.012,20,0.76,0.456,0.028
"TP3","FvFm Retention","SS Origin",-0.01,0.013,22,-0.789,0.438,0.028
"TP3","Symbiont Retention","Origin",0.04,0.025,42,1.56,0.126,0.041
"TP3","Symbiont Retention","Site",0.059,0.025,42,2.311,0.026,0.121
"TP3","Symbiont Retention","Origin x Site",-0.031,0.036,42,-0.868,0.39,0.018
"TP3","Symbiont Retention","KL Origin",0.04,0.028,20,1.402,0.176,0.089
"TP3","Symbiont Retention","SS Origin",0.008,0.022,22,0.392,0.699,0.007
"TP3","Chlorophyll Retention","Origin",0.032,0.052,44,0.617,0.54,0.006
"TP3","Chlorophyll Retention","Site",0.039,0.052,44,0.747,0.459,0.011
"TP3","Chlorophyll Retention","Origin x Site",-0.025,0.073,44,-0.344,0.732,0.003
"TP3","Chlorophyll Retention","KL Origin",0.032,0.038,20,0.847,0.407,0.035
"TP3","Chlorophyll Retention","SS Origin",0.007,0.06,22,0.112,0.912,0.001
"TP4","FvFm Retention","Origin",0.032,0.041,42,0.783,0.438,0
"TP4","FvFm Retention","Site",0.028,0.041,42,0.672,0.505,0
"TP4","FvFm Retention","Origin x Site",-0.058,0.059,42,-0.991,0.327,0.023
"TP4","FvFm Retention","KL Origin",0.032,0.039,20,0.826,0.419,0.033
"TP4","FvFm Retention","SS Origin",-0.026,0.045,20,-0.568,0.576,0.016
"TP4","Symbiont Retention","Origin",0.041,0.052,42,0.787,0.436,0.011
"TP4","Symbiont Retention","Site",-0.031,0.052,42,-0.593,0.556,0.038
"TP4","Symbiont Retention","Origin x Site",-0.033,0.074,42,-0.442,0.661,0.005
"TP4","Symbiont Retention","KL Origin",0.041,0.046,20,0.884,0.387,0.038
"TP4","Symbiont Retention","SS Origin",0.008,0.057,22,0.148,0.884,0.001
"TP4","Chlorophyll Retention","Origin",-0.013,0.017,43,-0.73,0.469,0.001
"TP4","Chlorophyll Retention","Site",-0.027,0.018,43,-1.5,0.141,0.021
"TP4","Chlorophyll Retention","Origin x Site",0.029,0.025,43,1.185,0.242,0.032
"TP4","Chlorophyll Retention","KL Origin",-0.013,0.015,22,-0.819,0.421,0.03
"TP4","Chlorophyll Retention","SS Origin",0.017,0.02,21,0.856,0.402,0.034
