"Timepoint","Response","Site","Contrast","Estimate","SE","DF","t","p","EffectSize","EffectSize.SE"
"TP1_2","Growth","KL","Native - Transplant",0.008,0.021,114,0.359,0.721,0.093,0.258
"TP1_2","Growth","SS","Native - Transplant",0.043,0.021,114,2.031,0.045,0.524,0.261
"TP3_4","Growth","KL","Native - Transplant",0.028,0.013,114,2.172,0.032,0.561,0.261
"TP3_4","Growth","SS","Native - Transplant",-0.034,0.013,114,-2.625,0.01,-0.678,0.262
"TP1","FvFm Retention","KL","Native - Transplant",-0.068,0.032,42,-2.117,0.04,-0.864,0.419
"TP1","FvFm Retention","SS","Native - Transplant",0.011,0.032,42,0.351,0.728,0.143,0.409
"TP1","Symbiont Retention","KL","Native - Transplant",-0.145,0.079,42,-1.842,0.073,-0.752,0.416
"TP1","Symbiont Retention","SS","Native - Transplant",0.007,0.079,42,0.085,0.932,0.035,0.408
"TP1","Chlorophyll Retention","KL","Native - Transplant",-0.014,0.027,42,-0.529,0.6,-0.216,0.409
"TP1","Chlorophyll Retention","SS","Native - Transplant",0.012,0.027,42,0.466,0.644,0.19,0.409
"TP2","FvFm Retention","KL","Native - Transplant",-0.075,0.026,42,-2.847,0.007,-1.162,0.427
"TP2","FvFm Retention","SS","Native - Transplant",0.027,0.026,42,1.014,0.316,0.414,0.411
"TP2","Symbiont Retention","KL","Native - Transplant",0.108,0.079,42,1.362,0.181,0.556,0.413
"TP2","Symbiont Retention","SS","Native - Transplant",0.103,0.079,42,1.296,0.202,0.529,0.412
"TP2","Chlorophyll Retention","KL","Native - Transplant",0.038,0.033,42,1.165,0.251,0.475,0.412
"TP2","Chlorophyll Retention","SS","Native - Transplant",-0.023,0.033,42,-0.703,0.486,-0.287,0.409
"TP3","FvFm Retention","KL","Native - Transplant",-0.009,0.012,42,-0.734,0.467,-0.3,0.41
"TP3","FvFm Retention","SS","Native - Transplant",0.01,0.012,42,0.823,0.415,0.336,0.41
"TP3","Symbiont Retention","KL","Native - Transplant",-0.075,0.047,42,-1.585,0.12,-0.647,0.414
"TP3","Symbiont Retention","SS","Native - Transplant",-0.018,0.047,42,-0.381,0.705,-0.155,0.409
"TP3","Chlorophyll Retention","KL","Native - Transplant",-0.032,0.052,42,-0.617,0.54,-0.252,0.409
"TP3","Chlorophyll Retention","SS","Native - Transplant",-0.007,0.052,42,-0.13,0.897,-0.053,0.408
"TP4","FvFm Retention","KL","Native - Transplant",-0.04,0.058,42,-0.685,0.497,-0.28,0.409
"TP4","FvFm Retention","SS","Native - Transplant",0.034,0.058,42,0.58,0.565,0.237,0.409
"TP4","Symbiont Retention","KL","Native - Transplant",-0.041,0.052,42,-0.787,0.436,-0.321,0.41
"TP4","Symbiont Retention","SS","Native - Transplant",-0.008,0.052,42,-0.162,0.872,-0.066,0.408
"TP4","Chlorophyll Retention","KL","Native - Transplant",0.013,0.017,41,0.73,0.469,0.298,0.41
"TP4","Chlorophyll Retention","SS","Native - Transplant",-0.017,0.018,41,-0.942,0.352,-0.394,0.421
